price,bathrooms,sqft_living,grade,sqft_above,sqft_living15
,2,2270,8,2270,2240
,1,1070,7,1070,1220
,2,2450,8,2450,2200
,2,1710,6,1710,1030
,1,2450,8,1750,1760
,1,1400,8,1400,1860
,1,1520,7,790,1520
,2,2570,8,2570,2630
,2,2320,8,2320,2580
,1,1190,7,1190,1390
,1,2330,7,1510,1460
,1,1090,8,1090,1570
,2,2060,7,1280,2020
,2,2300,8,1510,1590
,1,1000,7,740,1480
,2,2500,8,2500,2560
,1,2240,7,1120,1980
,3,2820,7,1880,2460
,1,1400,8,1110,1380
,1,1470,8,1470,1470
,2,1820,8,1820,2080
,2,2060,8,1370,2060
,2,1670,7,1100,1660
,1,1540,7,1540,1220
,1,1210,7,1210,1470
,2,3430,10,3430,3190
,2,2550,7,2550,2080
,1,1060,7,820,1370
,2,3670,10,3670,3040
,3,4420,11,3150,2760
,1,1550,7,1550,1450
,2,1190,8,1190,1410
,1,1300,7,1300,1410
,2,2430,8,2430,2100
,4,4290,10,4290,2810
,3,3500,10,2570,2940
,2,1680,7,1680,1540
,1,1250,7,1250,1450
,1,1020,6,1020,1200
,1,1510,8,1510,2140
,1,910,6,910,1240
,1,1320,7,1320,1250
,1,900,5,900,2060
,1,890,7,890,1010
,2,1240,7,1240,1430
,2,2960,9,2960,2480
,1,1020,7,1020,1290
,2,2590,8,1510,1930
,1,1100,7,1100,1110
,1,1300,6,1300,1630
,1,1200,6,1200,1340
,1,1570,7,1080,1250
,1,1570,7,1080,1250
,1,1650,7,1650,1650
,2,2920,9,2260,4510
,1,870,6,870,1750
,2,2830,9,2170,1880
,1,980,7,980,1260
,1,990,7,990,1730
,2,2360,8,1530,2580
,1,1000,7,1000,1940
,1,1660,7,1120,1900
,1,1520,7,1520,2040
,1,1180,8,840,1420
,1,1770,7,1770,1680
,1,980,6,980,980
,1,1840,7,1040,2040
,2,1810,7,1210,1770
,2,1780,8,1780,1690
,2,2840,9,2840,2880
,2,2650,9,2650,2650
,1,1270,7,1080,1360
,1,1260,7,1260,1540
,2,1750,7,1490,2450
,2,2680,8,1340,2220
,3,3830,9,3830,3830
,2,1610,8,1610,2540
,4,3840,10,3840,3230
,2,2670,7,1800,2460
,2,2000,7,2000,2000
,1,860,7,860,980
,1,1420,7,1420,1690
,2,2060,8,2060,1950
,2,2790,8,2790,2590
,1,1410,7,1410,1040
,3,2420,7,2420,2420
,2,1460,8,1460,1430
,1,2460,7,1230,1990
,1,1000,6,1000,1940
,4,4420,10,2740,3720
,1,1240,6,1240,1990
,2,1740,9,1740,2540
,1,1280,7,1200,1860
,2,2520,8,2520,2580
,3,1500,7,1500,1500
,2,2490,8,2290,1880
,1,1530,7,1130,1540
,2,1740,8,1740,1680
,2,3550,9,3550,3270
,1,1280,7,1280,2460